n,Tiempo_1,Tiempo_2
4096,0.002484,0.005036
6144,0.003274,0.007528
8192,0.005228,0.009762
12288,0.006875,0.013991
16384,0.009063,0.017865
32768,0.016771,0.030827
65536,0.030251,0.055111
98304,0.04184,0.081048
131072,0.052849,0.107811
163840,0.063556,0.13461
196608,0.074426,0.161393
262144,0.096327,0.214957
327680,0.118169,0.268902
524288,0.183915,0.42962
786432,0.272797,0.645103
917504,0.31719,0.752333
1048576,0.362255,0.860058
1310720,0.451934,1.074767
1742848,0.600015,1.428976
