n,Tiempo_1 (s)
10,2e-06
2684,0.058193
5359,0.233085
8034,0.525007
10708,0.936911
13383,1.726675
16058,2.574573
18733,3.376774
21407,4.418958
24082,4.763338
26757,5.946264
29432,7.631969
32106,9.160977
34781,10.789586
37456,12.52865
40131,14.29093
42805,16.192873
45480,18.384354
48155,20.49963
50829,22.88168
53504,25.583583
56179,27.862866
58854,30.563995
61528,33.552253
64203,36.442953
66878,39.6297
69553,42.938661
72227,46.391389
74902,51.854264
77577,59.91328
80252,61.060391
82926,71.023999
85601,69.63791
88276,69.604068
90950,78.005286
93625,82.047579
96300,88.687935
98975,97.8459
101649,102.911338
104324,98.735195
106999,111.360663
109674,121.287904
112348,122.453904
115023,131.929251
117698,131.584948
120373,136.169266
123047,142.534801
125722,146.403196
128397,153.499978
131072,159.569798
