n,Speedup_1,Speedup_2
4096,0.21546961325966849,0.12555066079295155
6144,0.21402214022140223,0.12665684830633284
8192,0.22714681440443213,0.1280353200883002
12288,0.22509225092250923,0.1284132841328413
16384,0.21958041958041957,0.13298791018998274
32768,0.23708421797593773,0.1484397783610382
65536,0.2385990514410799,0.15263467765675595
98304,0.23998020781791196,0.154020944477376
131072,0.2391671356218346,0.1529770311454694
163840,0.23136966126656847,0.1518812357254478
196608,0.2346712632356562,0.1517344646867981
262144,0.23957945664309638,0.1507411971173593
327680,0.23661148977604674,0.14789951068146556
524288,0.238354736293418,0.14859938246345003
786432,0.2442073363217375,0.14978380575778855
917504,0.24581188199722157,0.1499234222339583
1048576,0.24386073243718234,0.1491610152358898
1310720,0.2432258186851736,0.14709163229660507
1742848,0.23775447781366035,0.14638679769256574
1802240,0.23479317074502204,0.14504945527901436
1911728,0.23295505545938322,0.14461481820533742
2097152,0.23393469684020743,0.14446467886167813
3145728,0.22900348551067778,0.14409029743119375
4194304,0.22657495954950618,0.142146698815144
8388608,0.22049011912457292,0.1409774520704572
12582912,0.15557297809532253,0.0981485491272328
16777216,0.1426013284393136,0.09391652949867196
20971520,0.1425093034182838,0.09421970841719873
33554432,0.1559764481567505,0.10007030980318145
67108864,0.19091701365959649,0.12403209754039674
134217728,0.19277901242979828,0.126087168289826
