n,Speedup_1
2,0.46835443037974683
10,0.4247104247104247
32,0.19969023122026772
55,0.08200604017594207
77,0.07887854631396442
100,0.08256296204380259
200,0.2649503540776071
291,0.503049473624959
400,0.654269514989502
500,0.43935025623323865
600,0.3191076436104122
700,0.2533787550886463
800,0.19758440272647654
900,0.16544126709564222
933,0.15813781780209582
1100,0.13272452497397055
1200,0.122108615487764
1300,0.11605586560351873
1400,0.116342807244216
1550,0.15526962755500756
1700,0.18559771654179075
1850,0.21868994600672312
2000,0.2507231581452301
2100,0.2570797132117676
2200,0.2729957620640096
2300,0.297506233910396
2400,0.2941120104584874
2500,0.29960437469215834
2750,0.3237726516525878
3000,0.33223603455039824
